fecha,abrir,max,min,CerrarPrecio de cierre ajustado para splits.,Cierre ajustadoPrecio de cierre ajustado para splits y distribuciones de dividendos o plusvalías.,volumen,ticker
23 may 2025,18622.38,18841.52,18599.69,"18.737,21","18.737,21",8730370000,IXIC
22 may 2025,18888.05,19061.11,18840.34,"18.925,74","18.925,74",8289710000,IXIC
21 may 2025,19002.94,19241.41,18799.2,"18.872,64","18.872,64",11112460000,IXIC
20 may 2025,19132.06,19186.69,19015.63,"19.142,71","19.142,71",9047100000,IXIC
19 may 2025,18937.42,19227.22,18937.42,"19.215,46","19.215,46",13080030000,IXIC
16 may 2025,19151.54,19213.42,19038.48,"19.211,10","19.211,10",10509820000,IXIC
15 may 2025,19031.24,19207.22,18967.78,"19.112,32","19.112,32",10546350000,IXIC
14 may 2025,19074.72,19174.55,19023.61,"19.146,81","19.146,81",11744820000,IXIC
13 may 2025,18761.23,19065.96,18745.5,"19.010,09","19.010,09",9242230000,IXIC
12 may 2025,18674.56,18710.22,18472.71,"18.708,34","18.708,34",10717670000,IXIC
9 may 2025,18022.55,18068.9,17853.84,"17.928,92","17.928,92",8835140000,IXIC
8 may 2025,17920.15,18096.0,17776.0,"17.928,14","17.928,14",8500390000,IXIC
7 may 2025,17706.83,17820.29,17503.01,"17.738,16","17.738,16",7977870000,IXIC
6 may 2025,17623.21,17830.35,17592.88,"17.689,66","17.689,66",6958220000,IXIC
5 may 2025,17817.01,17965.64,17792.08,"17.844,24","17.844,24",7075320000,IXIC
2 may 2025,17868.76,18048.83,17812.04,"17.977,73","17.977,73",8180190000,IXIC
1 may 2025,17793.14,17922.83,17688.11,"17.710,74","17.710,74",8409690000,IXIC
30 abr 2025,17099.98,17483.82,16959.53,"17.446,34","17.446,34",8595330000,IXIC
29 abr 2025,17270.76,17500.42,17256.2,"17.461,32","17.461,32",13001930000,IXIC
28 abr 2025,17390.93,17467.35,17128.71,"17.366,13","17.366,13",10313290000,IXIC
25 abr 2025,17182.11,17404.49,17110.72,"17.382,94","17.382,94",7412930000,IXIC
24 abr 2025,16754.76,17174.35,16744.97,"17.166,04","17.166,04",7607400000,IXIC
23 abr 2025,16880.29,17029.86,16642.66,"16.708,05","16.708,05",8564870000,IXIC
22 abr 2025,16079.94,16410.56,16038.73,"16.300,42","16.300,42",6981900000,IXIC
21 abr 2025,16052.76,16066.79,15685.33,"15.870,90","15.870,90",6678730000,IXIC
17 abr 2025,16399.97,16408.51,16181.17,"16.286,45","16.286,45",7046290000,IXIC
16 abr 2025,16499.69,16600.37,16066.46,"16.307,16","16.307,16",7909190000,IXIC
15 abr 2025,16842.39,16979.96,16753.22,"16.823,17","16.823,17",7483050000,IXIC
14 abr 2025,17120.44,17136.56,16661.26,"16.831,48","16.831,48",9667260000,IXIC
11 abr 2025,16358.53,16753.41,16228.04,"16.724,46","16.724,46",9444890000,IXIC
10 abr 2025,16635.45,16712.37,15894.27,"16.387,31","16.387,31",11861670000,IXIC
9 abr 2025,15295.44,17202.94,15270.28,"17.124,97","17.124,97",13479740000,IXIC
8 abr 2025,16181.04,16316.51,15053.39,"15.267,91","15.267,91",10496650000,IXIC
7 abr 2025,14978.03,16292.28,14784.03,"15.603,26","15.603,26",12483580000,IXIC
4 abr 2025,16045.6,16128.16,15575.68,"15.587,79","15.587,79",11038180000,IXIC
3 abr 2025,16790.53,16889.34,16533.04,"16.550,61","16.550,61",9461330000,IXIC
2 abr 2025,17207.01,17716.52,17181.27,"17.601,05","17.601,05",9126630000,IXIC
1 abr 2025,17221.55,17506.59,17149.36,"17.449,89","17.449,89",7756540000,IXIC
31 mar 2025,17045.44,17334.98,16854.37,"17.299,29","17.299,29",8122180000,IXIC
28 mar 2025,17722.09,17763.28,17283.06,"17.322,99","17.322,99",7015410000,IXIC
27 mar 2025,17811.24,17988.02,17743.8,"17.804,03","17.804,03",8002470000,IXIC
26 mar 2025,18217.33,18236.55,17837.26,"17.899,02","17.899,02",9091510000,IXIC
25 mar 2025,18207.97,18281.13,18170.42,"18.271,86","18.271,86",6475790000,IXIC
24 mar 2025,18046.19,18210.05,18030.68,"18.188,59","18.188,59",6787790000,IXIC
21 mar 2025,17519.84,17798.06,17474.81,"17.784,05","17.784,05",8837930000,IXIC
20 mar 2025,17586.06,17903.2,17576.82,"17.691,63","17.691,63",6098330000,IXIC
19 mar 2025,17590.12,17917.54,17533.94,"17.750,79","17.750,79",6302310000,IXIC
18 mar 2025,17662.57,17682.92,17431.67,"17.504,12","17.504,12",6450530000,IXIC
17 mar 2025,17722.54,17925.94,17645.87,"17.808,66","17.808,66",6306340000,IXIC
14 mar 2025,17523.3,17773.48,17491.08,"17.754,09","17.754,09",7093850000,IXIC
13 mar 2025,17598.56,17621.91,17239.44,"17.303,01","17.303,01",7147050000,IXIC
12 mar 2025,17711.41,17800.1,17436.27,"17.648,45","17.648,45",7746430000,IXIC
11 mar 2025,17443.09,17687.4,17238.24,"17.436,10","17.436,10",9177320000,IXIC
10 mar 2025,17840.32,17868.08,17291.82,"17.468,32","17.468,32",8636040000,IXIC
7 mar 2025,18029.85,18243.58,17768.59,"18.196,22","18.196,22",8135420000,IXIC
6 mar 2025,18204.53,18439.24,17980.39,"18.069,26","18.069,26",7686200000,IXIC
5 mar 2025,18312.97,18604.47,18144.73,"18.552,73","18.552,73",7048430000,IXIC
4 mar 2025,18176.43,18589.49,17956.6,"18.285,16","18.285,16",8469180000,IXIC
3 mar 2025,18923.36,18992.3,18216.63,"18.350,19","18.350,19",8170140000,IXIC
28 feb 2025,18477.17,18861.33,18372.99,"18.847,28","18.847,28",8247520000,IXIC
27 feb 2025,19212.36,19242.69,18535.22,"18.544,42","18.544,42",7700290000,IXIC
26 feb 2025,19109.32,19286.02,18966.46,"19.075,26","19.075,26",7034450000,IXIC
25 feb 2025,19242.61,19256.35,18871.52,"19.026,39","19.026,39",7991440000,IXIC
24 feb 2025,19590.85,19644.23,19275.46,"19.286,93","19.286,93",7414760000,IXIC
21 feb 2025,20006.69,20016.66,19510.91,"19.524,01","19.524,01",8461020000,IXIC
20 feb 2025,20029.19,20041.15,19795.02,"19.962,36","19.962,36",7329270000,IXIC
19 feb 2025,19994.5,20099.39,19928.89,"20.056,25","20.056,25",8171530000,IXIC
18 feb 2025,20090.55,20110.12,19909.74,"20.041,26","20.041,26",8683170000,IXIC
14 feb 2025,19956.82,20045.76,19932.15,"20.026,77","20.026,77",7995720000,IXIC
13 feb 2025,19696.92,19952.17,19675.87,"19.945,64","19.945,64",8414510000,IXIC
12 feb 2025,19436.51,19682.51,19415.48,"19.649,95","19.649,95",7946550000,IXIC
11 feb 2025,19602.11,19731.93,19579.77,"19.643,86","19.643,86",9269380000,IXIC
10 feb 2025,19668.18,19772.04,19650.79,"19.714,27","19.714,27",9535440000,IXIC
7 feb 2025,19774.87,19862.54,19489.36,"19.523,40","19.523,40",7748940000,IXIC
6 feb 2025,19725.83,19793.36,19654.11,"19.791,99","19.791,99",6642100000,IXIC
5 feb 2025,19533.05,19696.94,19498.9,"19.692,33","19.692,33",6712220000,IXIC
4 feb 2025,19422.17,19666.44,19408.18,"19.654,02","19.654,02",6477050000,IXIC
3 feb 2025,19215.38,19502.13,19141.15,"19.391,96","19.391,96",8272460000,IXIC
31 ene 2025,19832.33,19969.17,19575.21,"19.627,44","19.627,44",7947370000,IXIC
30 ene 2025,19697.53,19785.79,19483.83,"19.681,75","19.681,75",6679500000,IXIC
29 ene 2025,19695.68,19699.82,19479.51,"19.632,32","19.632,32",6497710000,IXIC
28 ene 2025,19418.22,19759.43,19294.62,"19.733,59","19.733,59",7121740000,IXIC
27 ene 2025,19234.04,19514.35,19204.95,"19.341,83","19.341,83",8870200000,IXIC
24 ene 2025,20087.11,20118.61,19897.13,"19.954,30","19.954,30",7708150000,IXIC
23 ene 2025,19906.99,20053.68,19892.55,"20.053,68","20.053,68",6837700000,IXIC
22 ene 2025,19903.05,20068.52,19903.05,"20.009,34","20.009,34",7219060000,IXIC
21 ene 2025,19734.39,19789.63,19551.17,"19.756,78","19.756,78",8015780000,IXIC
17 ene 2025,19655.55,19709.64,19543.32,"19.630,20","19.630,20",7996360000,IXIC
16 ene 2025,19573.87,19579.85,19335.68,"19.338,29","19.338,29",7085990000,IXIC
15 ene 2025,19350.31,19548.9,19299.32,"19.511,23","19.511,23",7260250000,IXIC
14 ene 2025,19207.75,19273.14,18926.6,"19.044,39","19.044,39",7168110000,IXIC
13 ene 2025,18903.66,19099.97,18831.91,"19.088,10","19.088,10",7830760000,IXIC
10 ene 2025,19312.26,19315.11,19018.75,"19.161,63","19.161,63",8608880000,IXIC
8 ene 2025,19469.37,19544.51,19308.54,"19.478,88","19.478,88",8851720000,IXIC
7 ene 2025,19938.08,19940.21,19421.02,"19.489,68","19.489,68",13371130000,IXIC
6 ene 2025,19851.99,20007.95,19785.0,"19.864,98","19.864,98",9586840000,IXIC
3 ene 2025,19395.51,19638.66,19379.57,"19.621,68","19.621,68",8214050000,IXIC
2 ene 2025,19403.9,19517.87,19117.59,"19.280,79","19.280,79",8737550000,IXIC
31 dic 2024,19551.36,19563.72,19283.41,"19.310,79","19.310,79",8873030000,IXIC
30 dic 2024,19460.41,19622.93,19342.51,"19.486,79","19.486,79",8384090000,IXIC
27 dic 2024,19896.77,19904.77,19553.4,"19.722,03","19.722,03",7765120000,IXIC
26 dic 2024,19979.25,20070.08,19888.11,"20.020,36","20.020,36",6467910000,IXIC
24 dic 2024,19818.48,20031.13,19813.76,"20.031,13","20.031,13",4739190000,IXIC
23 dic 2024,19641.05,19772.1,19504.68,"19.764,88","19.764,88",6820720000,IXIC
20 dic 2024,19190.04,19758.61,19168.38,"19.572,60","19.572,60",10962450000,IXIC
19 dic 2024,19565.66,19623.02,19357.76,"19.372,77","19.372,77",8029590000,IXIC
18 dic 2024,20114.98,20179.77,19336.59,"19.392,69","19.392,69",9996120000,IXIC
17 dic 2024,20095.62,20148.83,20004.73,"20.109,06","20.109,06",9534350000,IXIC
16 dic 2024,20016.12,20204.58,19988.12,"20.173,89","20.173,89",8855040000,IXIC
13 dic 2024,19995.18,20061.65,19817.47,"19.926,72","19.926,72",6028250000,IXIC
12 dic 2024,19947.34,20018.24,19897.38,"19.902,84","19.902,84",7047550000,IXIC
11 dic 2024,19832.96,20055.93,19830.64,"20.034,89","20.034,89",6639720000,IXIC
10 dic 2024,19796.39,19887.08,19641.34,"19.687,24","19.687,24",6843850000,IXIC
9 dic 2024,19824.09,19872.79,19698.05,"19.736,69","19.736,69",7884620000,IXIC
6 dic 2024,19743.96,19863.15,19734.42,"19.859,77","19.859,77",6787610000,IXIC
5 dic 2024,19756.4,19790.03,19688.59,"19.700,26","19.700,26",7229510000,IXIC
4 dic 2024,19587.48,19741.76,19575.4,"19.735,12","19.735,12",7870030000,IXIC
3 dic 2024,19364.34,19486.15,19340.41,"19.480,91","19.480,91",6005160000,IXIC
2 dic 2024,19255.43,19436.92,19255.43,"19.403,95","19.403,95",6370530000,IXIC
29 nov 2024,19087.47,19245.49,19066.52,"19.218,17","19.218,17",4042550000,IXIC
27 nov 2024,19132.99,19133.11,18937.2,"19.060,48","19.060,48",5619090000,IXIC
26 nov 2024,19109.08,19184.4,19100.73,"19.174,30","19.174,30",6411770000,IXIC
25 nov 2024,19140.59,19208.68,18969.35,"19.054,84","19.054,84",7932980000,IXIC
22 nov 2024,18966.32,19025.77,18899.48,"19.003,65","19.003,65",6575820000,IXIC
21 nov 2024,19072.78,19110.89,18714.06,"18.972,42","18.972,42",7492540000,IXIC
20 nov 2024,18971.31,18974.91,18724.39,"18.966,14","18.966,14",7121670000,IXIC
19 nov 2024,18699.71,18992.08,18689.83,"18.987,47","18.987,47",7246610000,IXIC
18 nov 2024,18717.93,18865.28,18672.3,"18.791,81","18.791,81",8455360000,IXIC
15 nov 2024,18929.92,18936.75,18598.87,"18.680,12","18.680,12",8002270000,IXIC
14 nov 2024,19256.09,19275.8,19073.39,"19.107,65","19.107,65",8680480000,IXIC
13 nov 2024,19286.46,19358.48,19191.13,"19.230,72","19.230,72",9623670000,IXIC
12 nov 2024,19289.81,19343.05,19168.52,"19.281,40","19.281,40",7816410000,IXIC
11 nov 2024,19355.34,19366.07,19193.29,"19.298,76","19.298,76",8087930000,IXIC
8 nov 2024,19255.14,19318.56,19224.43,"19.286,78","19.286,78",7316010000,IXIC
7 nov 2024,19084.43,19301.7,19084.43,"19.269,46","19.269,46",9232670000,IXIC
6 nov 2024,18772.76,19000.5,18730.21,"18.983,47","18.983,47",8138050000,IXIC
5 nov 2024,18250.71,18449.68,18250.71,"18.439,17","18.439,17",7060340000,IXIC
4 nov 2024,18220.43,18308.3,18112.83,"18.179,98","18.179,98",5762320000,IXIC
1 nov 2024,18189.67,18363.94,18181.53,"18.239,92","18.239,92",5896470000,IXIC
31 oct 2024,18427.31,18427.31,18083.95,"18.095,15","18.095,15",6411940000,IXIC
30 oct 2024,18731.69,18785.5,18598.24,"18.607,93","18.607,93",6514690000,IXIC
29 oct 2024,18576.09,18753.19,18509.59,"18.712,75","18.712,75",6881170000,IXIC
28 oct 2024,18648.25,18671.01,18563.02,"18.567,19","18.567,19",5641660000,IXIC
25 oct 2024,18512.58,18690.01,18487.06,"18.518,61","18.518,61",6100040000,IXIC
24 oct 2024,18384.16,18435.37,18305.42,"18.415,49","18.415,49",5761280000,IXIC
23 oct 2024,18502.06,18509.19,18146.61,"18.276,65","18.276,65",6245610000,IXIC
22 oct 2024,18451.86,18620.71,18413.47,"18.579,77","18.579,77",6407180000,IXIC
21 oct 2024,18456.48,18543.58,18377.63,"18.540,01","18.540,01",6092180000,IXIC
18 oct 2024,18466.01,18524.33,18452.58,"18.489,55","18.489,55",5090190000,IXIC
17 oct 2024,18537.21,18541.46,18368.79,"18.373,61","18.373,61",5806860000,IXIC
16 oct 2024,18333.29,18383.11,18214.96,"18.367,08","18.367,08",5257570000,IXIC
15 oct 2024,18515.97,18564.25,18252.52,"18.315,59","18.315,59",6522700000,IXIC
14 oct 2024,18426.66,18547.92,18423.6,"18.502,69","18.502,69",4894710000,IXIC
11 oct 2024,18217.73,18375.53,18208.44,"18.342,94","18.342,94",5140440000,IXIC
10 oct 2024,18200.62,18333.39,18154.18,"18.282,05","18.282,05",5855390000,IXIC
9 oct 2024,18179.22,18302.05,18133.02,"18.291,62","18.291,62",5228670000,IXIC
8 oct 2024,18017.93,18203.04,17989.7,"18.182,92","18.182,92",5566510000,IXIC
7 oct 2024,18080.12,18096.33,17900.04,"17.923,90","17.923,90",5240320000,IXIC
4 oct 2024,18130.42,18145.28,17952.3,"18.137,85","18.137,85",5136070000,IXIC
3 oct 2024,17859.49,18011.25,17826.42,"17.918,48","17.918,48",5208990000,IXIC
2 oct 2024,17867.12,17978.58,17767.79,"17.925,12","17.925,12",5489040000,IXIC
1 oct 2024,18154.94,18162.72,17779.77,"17.910,36","17.910,36",5879980000,IXIC
30 sept 2024,18069.83,18198.16,17997.56,"18.189,17","18.189,17",5846150000,IXIC
27 sept 2024,18228.78,18238.28,18069.18,"18.119,59","18.119,59",5367890000,IXIC
26 sept 2024,18327.34,18327.34,18071.74,"18.190,29","18.190,29",5669210000,IXIC
25 sept 2024,18050.36,18155.04,18040.62,"18.082,21","18.082,21",4858060000,IXIC
24 sept 2024,18046.44,18091.96,17863.38,"18.074,52","18.074,52",5347580000,IXIC
23 sept 2024,17994.91,18021.58,17936.37,"17.974,27","17.974,27",5237310000,IXIC
20 sept 2024,17999.35,18024.34,17835.64,"17.948,32","17.948,32",9914480000,IXIC
19 sept 2024,17980.89,18099.93,17909.75,"18.013,98","18.013,98",5574650000,IXIC
18 sept 2024,17663.38,17832.7,17556.43,"17.573,30","17.573,30",5611630000,IXIC
17 sept 2024,17707.02,17781.74,17544.64,"17.628,06","17.628,06",4959520000,IXIC
16 sept 2024,17573.7,17618.4,17480.66,"17.592,13","17.592,13",4675530000,IXIC
13 sept 2024,17575.26,17719.14,17564.61,"17.683,98","17.683,98",4802880000,IXIC
12 sept 2024,17413.89,17605.72,17338.32,"17.569,68","17.569,68",4983120000,IXIC
11 sept 2024,17061.41,17420.23,16787.84,"17.395,53","17.395,53",6086930000,IXIC
10 sept 2024,16949.64,17036.07,16801.13,"17.025,88","17.025,88",4963740000,IXIC
9 sept 2024,16835.67,16923.28,16732.84,"16.884,60","16.884,60",5132150000,IXIC
6 sept 2024,17137.62,17166.54,16668.57,"16.690,83","16.690,83",5549030000,IXIC
5 sept 2024,17063.24,17295.58,17035.07,"17.127,66","17.127,66",4983030000,IXIC
4 sept 2024,17015.71,17232.65,16984.67,"17.084,30","17.084,30",5011820000,IXIC
3 sept 2024,17585.45,17585.45,17057.79,"17.136,30","17.136,30",5813970000,IXIC
30 ago 2024,17650.49,17720.38,17498.79,"17.713,62","17.713,62",5531150000,IXIC
29 ago 2024,17610.57,17789.21,17482.6,"17.516,43","17.516,43",5727780000,IXIC
28 ago 2024,17738.8,17759.94,17439.4,"17.556,03","17.556,03",5211920000,IXIC
27 ago 2024,17655.52,17789.72,17573.37,"17.754,82","17.754,82",4362380000,IXIC
26 ago 2024,17867.85,17909.09,17645.69,"17.725,77","17.725,77",5110940000,IXIC
23 ago 2024,17772.73,17941.27,17700.27,"17.877,79","17.877,79",5380810000,IXIC
22 ago 2024,17993.72,18017.69,17589.15,"17.619,35","17.619,35",5065360000,IXIC
21 ago 2024,17840.51,17963.07,17790.98,"17.918,99","17.918,99",4765150000,IXIC
20 ago 2024,17849.09,17932.53,17758.2,"17.816,94","17.816,94",5305260000,IXIC
19 ago 2024,17649.74,17877.44,17585.58,"17.876,77","17.876,77",5564300000,IXIC
16 ago 2024,17516.4,17674.65,17502.83,"17.631,72","17.631,72",5138150000,IXIC
15 ago 2024,17394.54,17602.72,17375.41,"17.594,50","17.594,50",5478170000,IXIC
14 ago 2024,17227.64,17260.73,17032.17,"17.192,60","17.192,60",4985480000,IXIC
13 ago 2024,16944.74,17192.79,16943.95,"17.187,61","17.187,61",5469160000,IXIC
12 ago 2024,16793.64,16895.79,16699.39,"16.780,61","16.780,61",4890850000,IXIC
9 ago 2024,16636.52,16789.22,16574.57,"16.745,30","16.745,30",5783410000,IXIC
8 ago 2024,16408.27,16694.25,16262.93,"16.660,02","16.660,02",5815880000,IXIC
7 ago 2024,16622.31,16709.81,16179.53,"16.195,81","16.195,81",5913620000,IXIC
6 ago 2024,16261.36,16620.31,16137.65,"16.366,85","16.366,85",5908930000,IXIC
5 ago 2024,15712.53,16453.46,15708.54,"16.200,08","16.200,08",6852190000,IXIC
2 ago 2024,16780.45,16920.63,16582.79,"16.776,16","16.776,16",6313870000,IXIC
1 ago 2024,17647.03,17791.58,17051.42,"17.194,15","17.194,15",6664550000,IXIC
31 jul 2024,17499.23,17693.98,17438.6,"17.599,40","17.599,40",6292560000,IXIC
30 jul 2024,17424.1,17468.56,17015.38,"17.147,42","17.147,42",5564310000,IXIC
29 jul 2024,17444.39,17535.32,17299.83,"17.370,20","17.370,20",4897230000,IXIC
26 jul 2024,17331.95,17454.57,17239.99,"17.357,88","17.357,88",5281560000,IXIC
25 jul 2024,17352.64,17544.46,17033.96,"17.181,72","17.181,72",6114350000,IXIC
24 jul 2024,17733.91,17747.06,17313.52,"17.342,41","17.342,41",6735560000,IXIC
23 jul 2024,17982.74,18128.38,17968.1,"17.997,35","17.997,35",4938000000,IXIC
22 jul 2024,17923.65,18040.99,17839.76,"18.007,57","18.007,57",5093620000,IXIC
19 jul 2024,17835.59,17935.14,17691.43,"17.726,94","17.726,94",4992930000,IXIC
18 jul 2024,18119.15,18130.87,17759.54,"17.871,22","17.871,22",5977260000,IXIC
17 jul 2024,18188.19,18223.24,17972.87,"17.996,92","17.996,92",6007280000,IXIC
16 jul 2024,18534.27,18576.83,18386.07,"18.509,34","18.509,34",5812930000,IXIC
15 jul 2024,18485.91,18641.53,18397.83,"18.472,57","18.472,57",5450350000,IXIC
12 jul 2024,18303.64,18556.73,18293.6,"18.398,45","18.398,45",5845930000,IXIC
11 jul 2024,18659.25,18671.07,18238.78,"18.283,41","18.283,41",6366620000,IXIC
10 jul 2024,18512.09,18655.19,18467.58,"18.647,45","18.647,45",5228240000,IXIC
9 jul 2024,18465.02,18511.89,18381.6,"18.429,29","18.429,29",4839140000,IXIC
8 jul 2024,18371.86,18416.94,18342.6,"18.403,74","18.403,74",5286260000,IXIC
5 jul 2024,18200.6,18366.31,18197.14,"18.352,76","18.352,76",4851000000,IXIC
3 jul 2024,18016.12,18188.3,18016.12,"18.188,30","18.188,30",3713960000,IXIC
2 jul 2024,17808.04,18031.29,17802.24,"18.028,76","18.028,76",4526550000,IXIC
1 jul 2024,17773.9,17894.28,17657.64,"17.879,30","17.879,30",5189990000,IXIC
28 jun 2024,17891.1,18035.0,17723.83,"17.732,60","17.732,60",8960940000,IXIC
27 jun 2024,17793.95,17892.78,17765.42,"17.858,68","17.858,68",5382060000,IXIC
26 jun 2024,17697.27,17813.55,17687.07,"17.805,16","17.805,16",5294310000,IXIC
25 jun 2024,17572.16,17734.34,17546.63,"17.717,65","17.717,65",4848280000,IXIC
24 jun 2024,17640.26,17730.12,17494.02,"17.496,82","17.496,82",5503210000,IXIC
21 jun 2024,17681.01,17787.34,17620.57,"17.689,36","17.689,36",8589160000,IXIC
20 jun 2024,17913.94,17936.79,17650.69,"17.721,59","17.721,59",6289300000,IXIC
18 jun 2024,17856.76,17890.52,17796.88,"17.862,23","17.862,23",5796180000,IXIC
17 jun 2024,17697.3,17935.99,17636.36,"17.857,02","17.857,02",6061200000,IXIC
14 jun 2024,17621.18,17693.43,17590.8,"17.688,88","17.688,88",4973820000,IXIC
13 jun 2024,17715.27,17741.8,17566.32,"17.667,56","17.667,56",4916020000,IXIC
12 jun 2024,17502.15,17725.39,17490.64,"17.608,44","17.608,44",5560630000,IXIC
11 jun 2024,17160.42,17345.05,17107.99,"17.343,55","17.343,55",5009220000,IXIC
10 jun 2024,17083.45,17213.45,17057.34,"17.192,53","17.192,53",5207110000,IXIC
7 jun 2024,17124.14,17229.31,17090.04,"17.133,13","17.133,13",4755650000,IXIC
6 jun 2024,17204.87,17235.73,17123.59,"17.173,12","17.173,12",4960580000,IXIC
5 jun 2024,16974.48,17187.92,16955.56,"17.187,90","17.187,90",5325000000,IXIC
4 jun 2024,16823.88,16891.87,16750.39,"16.857,05","16.857,05",4917350000,IXIC
3 jun 2024,16865.7,16909.89,16646.43,"16.828,67","16.828,67",5422040000,IXIC
31 may 2024,16771.9,16789.27,16445.54,"16.735,02","16.735,02",6674090000,IXIC
30 may 2024,16878.63,16900.46,16690.36,"16.737,08","16.737,08",6659290000,IXIC
29 may 2024,16879.35,16989.6,16873.97,"16.920,58","16.920,58",6652480000,IXIC
28 may 2024,16988.31,17032.66,16917.51,"17.019,88","17.019,88",6293380000,IXIC
24 may 2024,16786.79,16947.8,16771.58,"16.920,79","16.920,79",5836040000,IXIC
